评论人, 评论时间, 评论内容
欧小翼843462,1年前,说的真好，感觉时间一下子就过去了..
我胡汉三又回来啦_ey,1年前,哈哈哈哈哈哈哈哈哈哈妈的没见过这么解释的
可语冰,1年前,终于等到了
Eddie_cu,1年前,
超级开心花房,1年前,感觉矮大紧不适合讲这一类
隔壁巷子的女孩,1年前,这个摩托车声够够的了好嘛
小开心_pi,1年前,讲的好
张博老师,1年前,给资本洗地也就算了，居然替三体人洗地
肖特基TUBE,1年前,接力放屁，太形象了
1860996lxuk,1年前,人性亘古不变！
饮冰十年_p4,1年前,傻鼻
智远_1k,1年前,程心并不知道谁送她的星星，直到把云天明的大脑发射时，维德告诉了他。因此他不是恩将仇报，相反她是怀着仁爱之心找的云天明，云天明在地球医疗条件下肯定是要死的，而且云天明有天文爱好，这是一个让他幸福的机会，所以找了他
丶粗鄙之人,1年前,只剩羊驼曹泥马
ponyoer,1年前,大紧老师哈哈哈笑起来太有感染力了
丿八戒叔叔,1年前,讲的虽好，但是看起来真的没这么精彩。
Ladygagaqq,1年前,哈哈，圣母开始并不知道云天明送了颗星星她，发射了脑子后才发现的
黑客_kl,1年前,更新了，在听一遍
雯cest_la_vie,1年前,印象中，三体被毁是因为他们的曲率飞船发动时会留下痕迹。这也是人类一开始对于制造曲率飞船争议颇大的原因，飞船启动之时，就是其他留下来的人暴露在黑暗森林之时。
舒心FM,1年前,为此买了刘老师的书
甜晚鱼,1年前,这一段记忆深刻啊，云天明这个可怜的人
Loriread,1年前,感动，看三体
9bang,1年前,三体 绝对是对人性的反思。
梦晴O_o,1年前,讲的三体，还穿插了人类简史
心想事成的大耳朵,1年前,本来看不懂，高老师讲完，我有点开窍了，谢谢！
白色金属2017,1年前,还是有不少错误的
郑鸿飞_l0,1年前,
日月星辰2013,1年前,光速飞船形成黑域把地球遮住，就可以不被发现，避免黑色森林法则
小崔崔_t0,1年前,啊 终于等到 没忍住去搜了个三体速读 先听了一遍 不过可没有矮大紧讲的好 听完感觉整本小说有一点点黑暗 
Robards,1年前, 是发自骨髓的黑才对。就像《狂人日记》，第一遍读不下去，第二遍顿悟＂我也吃过人＂，狂人后来也好了去吃人了。冷汗直冒。再后来就越害怕越想重读。我们都生活在黑暗森林里，在质子的监视中，在宇宙战争的废墟上…毛骨悚然！！
lily婧,1年前,来听啦
5260的喵,1年前,被种草了
耗耗耗子酱,1年前,刚好在看人类简史
王保保_is,1年前,这观点挺新颖的，不错
粉色头巾的大灰狼,1年前,喜欢！
奥萨马_本_萨利赫,1年前,晓松我爱你
流星划过_ez,1年前,永远比优酷晚更新一周，我也是郁闷
罒粑粑_we,1年前,听完了
百年孤独_Es,1年前,世界属于三体:person_raising_hand:
ktgmm911tkptu2ll2o7w,1年前,讲错的地方太多
张传文0,1年前,大家好！
呵呵i哈哈,1年前,大爱三体
MayAlice,1年前,太好了
Fell_35,1年前,太短了，节目时间太短了！
果然是你_bi,1年前,有趣的灵魂
邹少祺,1年前,沙发沙发沙发:beaming_face_with_smiling_eyes:
超_2zs,1年前,沙发
超_2zs,1年前,哈哈哈
SAKURA丨,1年前,晓说风轻淡雨云，挺有趣的
崔桂英_gr,1年前,难道我抢到了沙发？终于更新了
空虚公孑,1年前,沙发
极素_x8,1年前,沙发！
celeronfans,1年前,沙发？？？
品蓝_Nn,1年前,童话是第三部里最美的那部分
Mumuyao,1年前,难道是沙发？~ 三体看到一半，正好这部分不知道
最近没有腰小姐,1年前,更新了，好棒
Bob_c6,1年前,:thumbs_up:
Bob_c6,1年前,三楼
Bob_c6,1年前,二楼
Bob_c6,1年前,一楼
我去_h9,1年前,沙发
你若情深我定死随,1年前,先占个位，终于等到更新了
DJ女婶,1年前,
15251384bqx,1年前,几人
1332825ifec,1年前,我的偶像～！
Skye17878,1年前,滴滴 打卡
一萬青年,1年前,等来
一支非洲小象腿,1年前,开心，更新～
