评论人, 评论时间, 评论内容
惰惰_eo,3月前,不是蓝色空间号和青铜时代号吗？怎么变成万有引力号了。我错过了什么
饭特稀_e0,3月前,好喜欢这期，喜欢的不行
Dou24,3月前,广泛覆盖比财富更丰富
jwjnet,3月前,娘炮毁所有，纯爷们才有未来。
1583899cpey,3月前,带路党
高翔_k0,3月前,明显没看完就来讲，肥皂泡就是解释曲率的
高翔_k0,3月前,曲率解释错了
石头_q2a,3月前,太空中没有冲击波吧
圣帕特里克,3月前,看完三体，高讲得不太准确
蝈蝈蝈蝈0000000,3月前,矮大紧可以说评书的
呐呐呐_轰君最棒啦,4月前,不是青铜什么号吗
山顶冻人_62,4月前,几年前一口气看完了三体，根本停不下来。那时候媒体上还没有报道过这部小说
13140081oam,4月前,书买了好几年了实在看不下去，第一本看完一半，没想到后面这么精彩！
小夏子_at,4月前,我记得三体不是想要灭绝全人类吗？想毁灭澳大利亚
A天赐恩宠,4月前,党员
逍遥颂歌,4月前,只要存在就一定正确
怒火2012,4月前,哈哈，是在车库录制节目，老听见汽车发动声音
魏如瑜,4月前,好好
小志_yiu,4月前,人类加起来多重 ?3亿吨? 养的家禽多重?7亿吨? 其他所有动物加起来多重啊? 我感觉这个有点不对啊!谁给普及下
随遇而舒,5月前,高晓松的嘴是真的臭
秋水伊人_e0q,5月前,听着高老师讲的觉得很有意思，很开心的感觉。感觉老师的心很豁达，像李白
樊_sv,5月前,
你看看你身上的rou,5月前,听完我觉得我无法正视我自己了
1386941oigl,5月前,人类确实有点过分了
星环号,5月前,哼哼哼
Fluorite_mf,5月前,第四次刷三体了。
1484680046,5月前,太不严谨了，简直是胡说八道，7亿吨的生物？一亿吨的生物？
绿野_rg,19天前,你可真棒:thumbs_up:
喵喵_15z,5月前,最恨程心
暖暖说,5月前,背景拖拉机声音是什么鬼
小黄人最可爱啦,5月前,bi~bi~bi
小黄人最可爱啦,5月前,强:thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:
青山不改_,5月前,讲的太好了，经常开车出门。听晓说，心情愉悦！欲罢不能啊！哈哈哈
桃子的小生活,6月前,一直没看下去，老是停留在前几页，听大紧的话，看！
玩命干一年7,6月前,那句话。给时光以生命 给岁月以文明
问道_sF,6月前,说实话，高晓松的演说忒恶心
lh77,6月前,看完三体觉得自己做的什么事都没了意义
墨墨Molly,6月前,听了晓说，迫不及待想看三体了，有意思！
草草是我,6月前,牛
铁公鸡x,7月前,歌者文明那一章看了好几次
秋成_7l,7月前,云天明孤独吗
13569126cid,7月前,
13569126cid,7月前,褔倒:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:发疯啦
